constructor_id,name,nationality,Wikipedia_url
matra-ford,Matra-Ford,French,
lds,LDS,South African,
cooper-brm,Cooper-BRM,British,
march,March,British,
tyrrell,Tyrrell,British,
mclaren,McLaren,British,
surtees,Surtees,British,
march-ford,March-Ford,British,
march-alfa_romeo,March-Alfa Romeo,British,
lotus-pw,Lotus-Pratt &amp; Whitney,British,
iso_marlboro,Iso Marlboro,British,
shadow,Shadow,British,
tecno,Tecno,Italian,
hesketh,Hesketh,British,
trojan,Trojan,British,
amon,Amon,New Zealander,
penske,Penske,American,
shadow-ford,Shadow-Ford,British,
williams,Williams,British,
parnelli,Parnelli,American,
fittipaldi,Fittipaldi,Brazilian,
hill,Embassy Hill,British,
ensign,Ensign,British,
wolf,Wolf,Canadian,
brabham-alfa_romeo,Brabham-Alfa Romeo,British,
ligier,Ligier,French,
boro,Boro,Dutch,
merzario,Merzario,Italian,
arrows,Arrows,British,
renault,Renault,French,
theodore,Theodore,Hong Kong,
osella,Osella,Italian,
toleman,Toleman,British,
ram,RAM,British,
spirit,Spirit,British,
minardi,Minardi,Italian,
zakspeed,Zakspeed,German,
benetton,Benetton,Italian,
ags,AGS,French,
larrousse,Larrousse,French,
rial,Rial,German,
coloni,Coloni,Italian,
eurobrun,Euro Brun,Italian,
dallara,Dallara,Italian,
leyton,Leyton House,British,
onyx,Onyx,British,
lambo,Lambo,Italian,
jordan,Jordan,Irish,
footwork,Footwork,British,
fondmetal,Fondmetal,Italian,
sauber,Sauber,Swiss,
simtek,Simtek,British,
pacific,Pacific,British,
forti,Forti,Italian,
prost,Prost,French,
stewart,Stewart,British,
bar,BAR,British,
jaguar,Jaguar,British,
toyota,Toyota,Japanese,
red_bull,Red Bull,Austrian,
toro_rosso,Toro Rosso,Italian,
bmw_sauber,BMW Sauber,German,
mf1,MF1,Russian,
super_aguri,Super Aguri,Japanese,
spyker,Spyker,Dutch,
force_india,Force India,Indian,
brawn,Brawn,British,
lotus_racing,Lotus,Malaysian,
hrt,HRT,Spanish,
virgin,Virgin,British,
lotus_f1,Lotus F1,British,
marussia,Marussia,Russian,
caterham,Caterham,Malaysian,
manor,Manor Marussia,British,
haas,Haas F1 Team,American,
racing_point,Racing Point,British,
alphatauri,AlphaTauri,Italian,
alpine,Alpine F1 Team,French,
rb,RB F1 Team,Italian,
