race_id,driver_id,constructor_id,position,q1,q2,q3
1994_3,hakkinen,mclaren,8,1:23.140,,
1994_3,katayama,tyrrell,9,1:23.322,,
1994_3,wendlinger,sauber,10,1:23.347,,
1994_3,morbidelli,footwork,11,1:23.663,,
1994_3,blundell,tyrrell,12,1:23.703,,
1994_3,brundle,mclaren,13,1:23.858,,
1994_3,martini,minardi,14,1:24.078,,
1994_3,alboreto,minardi,15,1:24.276,,
1994_3,fittipaldi,footwork,16,1:24.472,,
1994_3,bernard,ligier,17,1:24.678,,
1994_3,comas,larrousse,18,1:24.852,,
1994_3,panis,ligier,19,1:24.996,,
1994_3,herbert,team_lotus,20,1:25.114,,
1994_3,cesaris,jordan,21,1:25.234,,
1994_3,lamy,team_lotus,22,1:25.295,,
1994_3,beretta,larrousse,23,1:25.991,,
1994_3,brabham,simtek,24,1:26.817,,
1994_3,gachot,pacific,25,1:27.143,,
1994_3,ratzenberger,simtek,26,1:27.584,,
1994_3,belmondo,pacific,27,1:27.881,,
1994_3,barrichello,jordan,28,,,
1994_5,michael_schumacher,benetton,1,1:21.908,,
1994_5,damon_hill,williams,2,1:22.559,,
1994_5,hakkinen,mclaren,3,1:22.660,,
1994_5,lehto,benetton,4,1:22.983,,
1994_5,barrichello,jordan,5,1:23.594,,
1994_5,alesi,ferrari,6,1:23.700,,
1994_5,berger,ferrari,7,1:23.715,,
1994_5,brundle,mclaren,8,1:23.763,,
1994_5,coulthard,williams,9,1:23.782,,
1994_5,katayama,tyrrell,10,1:23.969,,
1994_5,blundell,tyrrell,11,1:23.981,,
1994_5,frentzen,sauber,12,1:24.254,,
1994_5,irvine,jordan,13,1:24.930,,
1994_5,alboreto,minardi,14,1:24.996,,
1994_5,morbidelli,footwork,15,1:25.018,,
1994_5,comas,larrousse,16,1:25.050,,
1994_5,beretta,larrousse,17,1:25.161,,
1994_5,martini,minardi,18,1:25.247,,
1994_5,panis,ligier,19,1:25.577,,
1994_5,bernard,ligier,20,1:25.766,,
1995_1,damon_hill,williams,1,1:20.081,,
1995_1,michael_schumacher,benetton,2,1:20.382,,
1995_1,coulthard,williams,3,1:20.422,,
1995_1,herbert,benetton,4,1:20.888,,
1995_1,berger,ferrari,5,1:20.906,,
1995_1,alesi,ferrari,6,1:21.041,,
1995_1,hakkinen,mclaren,7,1:21.399,,
1995_1,irvine,jordan,8,1:21.749,,
1995_1,blundell,mclaren,9,1:21.779,,
1995_1,panis,ligier,10,1:21.914,,
1995_1,katayama,tyrrell,11,1:22.325,,
1995_1,salo,tyrrell,12,1:22.416,,
1995_1,morbidelli,footwork,13,1:22.468,,
1995_1,frentzen,sauber,14,1:22.872,,
1995_1,suzuki,ligier,15,1:22.971,,
1995_1,barrichello,jordan,16,1:22.975,,
1995_1,martini,minardi,17,1:24.383,,
1995_1,badoer,minardi,18,1:24.443,,
1995_1,wendlinger,sauber,19,1:24.723,,
1995_1,gachot,pacific,20,1:25.127,,
1995_1,inoue,footwork,21,1:25.225,,
1995_1,montermini,pacific,22,1:25.886,,
1995_1,moreno,forti,23,1:26.269,,
1995_1,verstappen,simtek,24,1:27.323,,
1995_1,diniz,forti,25,1:27.792,,
1995_1,schiattarella,simtek,26,1:28.106,,
1995_2,coulthard,williams,1,1:53.241,,
1995_2,damon_hill,williams,2,1:54.057,,
1995_2,michael_schumacher,benetton,3,1:54.272,,
1995_2,irvine,jordan,4,1:54.381,,
1995_2,hakkinen,mclaren,5,1:54.529,,
1995_2,alesi,ferrari,6,1:54.637,,
1995_2,salo,tyrrell,7,1:54.757,,
1995_2,berger,ferrari,8,1:55.276,,
1995_2,frentzen,sauber,9,1:55.583,,
1995_2,barrichello,jordan,10,1:56.114,,
1995_2,herbert,benetton,11,1:57.068,,
1995_2,morbidelli,footwork,12,1:57.092,,
1995_2,badoer,minardi,13,1:57.167,,
1995_2,verstappen,simtek,14,1:57.231,,
1995_2,katayama,tyrrell,15,1:57.484,,
1995_2,martini,minardi,16,1:58.066,,
1995_2,blundell,mclaren,17,1:58.660,,
1995_2,panis,ligier,18,1:58.824,,
1995_2,suzuki,ligier,19,1:58.882,,
1995_2,schiattarella,simtek,20,1:59.539,,
1995_2,wendlinger,sauber,21,2:00.751,,
1995_2,montermini,pacific,22,2:01.763,,
1995_2,gachot,pacific,23,2:04.050,,
1995_2,moreno,forti,24,2:04.481,,
1995_2,diniz,forti,25,2:05.932,,
1995_2,inoue,footwork,26,2:07.298,,
1995_3,michael_schumacher,benetton,1,1:27.274,,
1995_3,berger,ferrari,2,1:27.282,,
1995_3,coulthard,williams,3,1:27.459,,
1995_3,damon_hill,williams,4,1:27.512,,
1995_3,alesi,ferrari,5,1:27.813,,
1995_3,hakkinen,mclaren,6,1:28.343,,
1995_3,irvine,jordan,7,1:28.516,,
1995_3,herbert,benetton,8,1:29.350,,
1995_3,mansell,mclaren,9,1:29.517,,
1995_3,barrichello,jordan,10,1:29.551,,
1995_3,morbidelli,footwork,11,1:29.582,,
1995_3,panis,ligier,12,1:30.760,,
1995_3,salo,tyrrell,13,1:31.035,,
1995_3,frentzen,sauber,14,1:31.358,,
1995_3,katayama,tyrrell,15,1:31.630,,
1995_3,suzuki,ligier,16,1:31.913,,
1995_3,verstappen,simtek,17,1:32.156,,
1995_3,martini,minardi,18,1:32.445,,
1995_3,inoue,footwork,19,1:32.710,,
1995_3,badoer,minardi,20,1:33.071,,
1995_3,wendlinger,sauber,21,1:33.494,,
1995_3,gachot,pacific,22,1:33.892,,
1995_3,schiattarella,simtek,23,1:33.965,,
1995_3,montermini,pacific,24,1:35.169,,
1995_3,moreno,forti,25,1:36.065,,
1995_3,diniz,forti,26,1:36.624,,
1995_4,michael_schumacher,benetton,1,1:21.452,,
1995_4,alesi,ferrari,2,1:22.052,,
1995_4,berger,ferrari,3,1:22.071,,
1995_4,coulthard,williams,4,1:22.332,,
1995_4,damon_hill,williams,5,1:22.349,,
1995_4,irvine,jordan,6,1:23.352,,
1995_4,herbert,benetton,7,1:23.536,,
1995_4,barrichello,jordan,8,1:23.705,,
1995_4,hakkinen,mclaren,9,1:23.833,,
1995_4,mansell,mclaren,10,1:23.927,,
1995_4,brundle,ligier,11,1:24.727,,
1995_4,frentzen,sauber,12,1:24.802,,
1995_4,salo,tyrrell,13,1:24.971,,
1995_4,morbidelli,footwork,14,1:25.053,,
1995_4,panis,ligier,15,1:25.204,,
1995_4,verstappen,simtek,16,1:25.827,,
1995_4,katayama,tyrrell,17,1:25.946,,
1995_4,inoue,footwork,18,1:26.059,,
1995_4,martini,minardi,19,1:26.619,,
1995_4,wendlinger,sauber,20,1:27.007,,
1995_4,badoer,minardi,21,1:27.345,,
1995_4,schiattarella,simtek,22,1:27.575,,
1996_1,villeneuve,williams,1,1:32.371,,
1996_1,damon_hill,williams,2,1:32.509,,
1996_1,irvine,ferrari,3,1:32.889,,
1996_1,michael_schumacher,ferrari,4,1:33.125,,
1996_1,hakkinen,mclaren,5,1:34.054,,
1996_1,alesi,benetton,6,1:34.257,,
1996_1,berger,benetton,7,1:34.344,,
1996_1,barrichello,jordan,8,1:34.474,,
1996_1,frentzen,sauber,9,1:34.494,,
1996_1,salo,tyrrell,10,1:34.832,,
1996_1,panis,ligier,11,1:35.330,,
1996_1,verstappen,footwork,12,1:35.338,,
1996_1,coulthard,mclaren,13,1:35.351,,
1996_1,herbert,sauber,14,1:35.453,,
1996_1,katayama,tyrrell,15,1:35.715,,
1996_1,fisichella,minardi,16,1:35.898,,
1996_1,lamy,minardi,17,1:36.109,,
1996_1,rosset,footwork,18,1:36.198,,
1996_1,brundle,jordan,19,1:36.286,,
1996_1,diniz,ligier,20,1:36.298,,
1996_2,damon_hill,williams,1,1:18.111,,
1996_2,barrichello,jordan,2,1:19.092,,
1996_2,villeneuve,williams,3,1:19.254,,
1996_2,michael_schumacher,ferrari,4,1:19.474,,
1996_2,alesi,benetton,5,1:19.484,,
1996_2,brundle,jordan,6,1:19.519,,
1996_2,hakkinen,mclaren,7,1:19.607,,
1996_2,berger,benetton,8,1:19.762,,
1996_2,frentzen,sauber,9,1:19.799,,
1996_2,irvine,ferrari,10,1:19.951,,
1996_2,salo,tyrrell,11,1:20.000,,
1996_2,herbert,sauber,12,1:20.144,,
1996_2,verstappen,footwork,13,1:20.157,,
1996_2,coulthard,mclaren,14,1:20.167,,
1996_2,panis,ligier,15,1:20.426,,
1996_2,katayama,tyrrell,16,1:20.427,,
1996_2,rosset,footwork,17,1:20.440,,
1996_2,lamy,minardi,18,1:21.491,,
1996_2,badoer,forti,19,1:23.174,,
1996_2,montermini,forti,20,1:23.454,,
1996_2,marques,minardi,21,,,
1996_2,diniz,ligier,22,,,
1996_3,damon_hill,williams,1,1:30.346,,
1996_3,michael_schumacher,ferrari,2,1:30.598,,
1996_3,villeneuve,williams,3,1:30.907,,
1996_3,alesi,benetton,4,1:31.038,,
1996_3,berger,benetton,5,1:31.262,,
1996_3,barrichello,jordan,6,1:31.404,,
1996_3,verstappen,footwork,7,1:31.615,,
1996_3,hakkinen,mclaren,8,1:31.801,,
1996_3,coulthard,mclaren,9,1:32.001,,
1996_3,irvine,ferrari,10,1:32.058,,
1996_3,frentzen,sauber,11,1:32.130,,
1996_3,panis,ligier,12,1:32.177,,
1996_3,katayama,tyrrell,13,1:32.407,,
1996_3,marques,minardi,14,1:32.502,,
1996_3,brundle,jordan,15,1:32.696,,
1996_3,salo,tyrrell,16,1:32.903,,
1996_3,herbert,sauber,17,1:33.256,,
1996_3,diniz,ligier,18,1:33.424,,
1996_3,lamy,minardi,19,1:33.727,,
1996_3,rosset,footwork,20,1:33.752,,
1996_3,badoer,forti,21,1:34.830,,
1996_3,montermini,forti,22,1:35.651,,
1996_4,damon_hill,williams,1,1:18.941,,
1996_4,villeneuve,williams,2,1:19.721,,
1996_4,michael_schumacher,ferrari,3,1:20.149,,
1996_4,alesi,benetton,4,1:20.711,,
1996_4,barrichello,jordan,5,1:20.818,,
1996_4,coulthard,mclaren,6,1:20.888,,
1996_4,irvine,ferrari,7,1:20.931,,
1996_4,berger,benetton,8,1:21.054,,
1996_4,hakkinen,mclaren,9,1:21.078,,
1996_4,frentzen,sauber,10,1:21.113,,
1996_4,brundle,jordan,11,1:21.177,,
1996_4,herbert,sauber,12,1:21.210,,
1996_4,verstappen,footwork,13,1:21.367,,
1996_4,salo,tyrrell,14,1:21.458,,
1996_4,panis,ligier,15,1:21.509,,
1996_4,katayama,tyrrell,16,1:21.812,,
1996_4,diniz,ligier,17,1:22.733,,
1996_4,fisichella,minardi,18,1:22.921,,
1996_4,lamy,minardi,19,1:23.139,,
1996_4,rosset,footwork,20,1:23.620,,
1996_5,michael_schumacher,ferrari,1,1:26.890,,
1996_5,damon_hill,williams,2,1:27.105,,
1996_5,villeneuve,williams,3,1:27.220,,
1996_5,coulthard,mclaren,4,1:27.688,,
1996_5,alesi,benetton,5,1:28.009,,
1996_5,irvine,ferrari,6,1:28.205,,
1996_5,berger,benetton,7,1:28.336,,
1996_5,salo,tyrrell,8,1:28.423,,
1996_5,barrichello,jordan,9,1:28.632,,
1996_5,frentzen,sauber,10,1:28.785,,
1996_5,hakkinen,mclaren,11,1:29.079,,
1996_5,brundle,jordan,12,1:29.099,,
1996_5,panis,ligier,13,1:29.472,,
1996_5,verstappen,footwork,14,1:29.539,,
1996_5,herbert,sauber,15,1:29.541,,
1996_5,katayama,tyrrell,16,1:29.892,,
1997_1,villeneuve,williams,1,1:29.369,,
1997_1,frentzen,williams,2,1:31.123,,
1997_1,michael_schumacher,ferrari,3,1:31.472,,
1997_1,coulthard,mclaren,4,1:31.531,,
1997_1,irvine,ferrari,5,1:31.881,,
1997_1,hakkinen,mclaren,6,1:31.971,,
1997_1,herbert,sauber,7,1:32.287,,
1997_1,alesi,benetton,8,1:32.593,,
1997_1,panis,prost,9,1:32.842,,
1997_1,berger,benetton,10,1:32.870,,
1997_1,barrichello,stewart,11,1:33.075,,
1997_1,ralf_schumacher,jordan,12,1:33.130,,
1997_1,larini,sauber,13,1:33.327,,
1997_1,fisichella,jordan,14,1:33.552,,
1997_1,katayama,minardi,15,1:33.798,,
1997_1,nakano,prost,16,1:33.989,,
1997_1,trulli,minardi,17,1:34.120,,
1997_1,salo,tyrrell,18,1:34.229,,
1997_1,magnussen,stewart,19,1:34.623,,
1997_1,damon_hill,arrows,20,1:34.806,,
1997_1,verstappen,tyrrell,21,1:34.943,,
1997_1,diniz,arrows,22,1:35.972,,
1997_2,villeneuve,williams,1,1:16.004,,
1997_2,michael_schumacher,ferrari,2,1:16.594,,
1997_2,berger,benetton,3,1:16.644,,
1997_2,hakkinen,mclaren,4,1:16.692,,
1997_2,panis,prost,5,1:16.756,,
1997_2,alesi,benetton,6,1:16.757,,
1997_2,fisichella,jordan,7,1:16.912,,
1997_2,frentzen,williams,8,1:16.971,,
1997_2,damon_hill,arrows,9,1:17.090,,
1997_2,ralf_schumacher,jordan,10,1:17.175,,
1997_2,barrichello,stewart,11,1:17.259,,
1997_2,coulthard,mclaren,12,1:17.262,,
1997_2,herbert,sauber,13,1:17.409,,
1997_2,irvine,ferrari,14,1:17.527,,
1997_2,nakano,prost,15,1:17.999,,
1997_2,diniz,arrows,16,1:18.095,,
1997_2,trulli,minardi,17,1:18.336,,
1997_2,katayama,minardi,18,1:18.557,,
1997_2,larini,sauber,19,1:18.644,,
1997_2,magnussen,stewart,20,1:18.773,,
1997_2,verstappen,tyrrell,21,1:18.885,,
1997_2,salo,tyrrell,22,1:19.274,,
1997_3,villeneuve,williams,1,1:24.473,,
1997_3,frentzen,williams,2,1:25.271,,
1997_3,panis,prost,3,1:25.491,,
1997_3,michael_schumacher,ferrari,4,1:25.773,,
1997_3,barrichello,stewart,5,1:25.942,,
1997_3,ralf_schumacher,jordan,6,1:26.218,,
1997_3,irvine,ferrari,7,1:26.327,,
1997_3,herbert,sauber,8,1:26.564,,
1997_3,fisichella,jordan,9,1:26.619,,
1997_3,coulthard,mclaren,10,1:26.799,,
1997_3,alesi,benetton,11,1:27.076,,
1997_3,berger,benetton,12,1:27.259,,
1997_3,damon_hill,arrows,13,1:27.281,,
1997_3,larini,sauber,14,1:27.690,,
1997_3,magnussen,stewart,15,1:28.035,,
1997_3,verstappen,tyrrell,16,1:28.094,,
1997_3,hakkinen,mclaren,17,1:28.135,,
1997_3,trulli,minardi,18,1:28.160,,
1997_3,salo,tyrrell,19,1:28.224,,
1997_3,nakano,prost,20,1:28.366,,
1997_3,katayama,minardi,21,1:28.413,,
1997_3,diniz,arrows,22,1:28.696,,
1997_4,villeneuve,williams,1,1:23.303,,
1997_4,frentzen,williams,2,1:23.646,,
1997_4,michael_schumacher,ferrari,3,1:23.955,,
1997_4,panis,prost,4,1:24.075,,
1997_4,ralf_schumacher,jordan,5,1:24.081,,
1997_4,fisichella,jordan,6,1:24.596,,
1997_4,herbert,sauber,7,1:24.723,,
1997_4,hakkinen,mclaren,8,1:24.812,,
1997_4,irvine,ferrari,9,1:24.862,,
1997_4,coulthard,mclaren,10,1:25.077,,
1997_4,berger,benetton,11,1:25.371,,
1997_4,larini,sauber,12,1:25.554,,
1997_4,barrichello,stewart,13,1:25.579,,
1997_4,alesi,benetton,14,1:25.729,,
1997_4,damon_hill,arrows,15,1:25.743,,
1997_4,magnussen,stewart,16,1:26.192,,
1997_4,diniz,arrows,17,1:26.253,,
1997_4,nakano,prost,18,1:26.712,,
1997_4,salo,tyrrell,19,1:26.852,,
1997_4,trulli,minardi,20,1:26.960,,
1997_4,verstappen,tyrrell,21,1:27.428,,
1997_4,katayama,minardi,22,1:28.727,,
1997_5,frentzen,williams,1,1:18.216,,
1997_5,michael_schumacher,ferrari,2,1:18.235,,
1997_5,villeneuve,williams,3,1:18.583,,
1997_5,fisichella,jordan,4,1:18.665,,
1997_5,coulthard,mclaren,5,1:18.779,,
1997_5,ralf_schumacher,jordan,6,1:18.943,,
1997_5,herbert,sauber,7,1:19.105,,
1997_5,hakkinen,mclaren,8,1:19.119,,
1997_5,alesi,benetton,9,1:19.263,,
1997_5,barrichello,stewart,10,1:19.295,,
1997_5,larini,sauber,11,1:19.468,,
1997_5,panis,prost,12,1:19.626,,
1998_1,hakkinen,mclaren,1,1:30.010,,
1998_1,coulthard,mclaren,2,1:30.053,,
1998_1,michael_schumacher,ferrari,3,1:30.767,,
1998_1,villeneuve,williams,4,1:30.919,,
1998_1,herbert,sauber,5,1:31.384,,
1998_1,frentzen,williams,6,1:31.397,,
1998_1,fisichella,benetton,7,1:31.733,,
1998_1,irvine,ferrari,8,1:31.767,,
1998_1,ralf_schumacher,jordan,9,1:32.392,,
1998_1,damon_hill,jordan,10,1:32.399,,
1998_1,wurz,benetton,11,1:32.726,,
1998_1,alesi,sauber,12,1:33.240,,
1998_1,takagi,tyrrell,13,1:33.291,,
1998_1,barrichello,stewart,14,1:33.383,,
1998_1,trulli,prost,15,1:33.739,,
1998_1,salo,arrows,16,1:33.927,,
1998_1,tuero,minardi,17,1:34.646,,
1998_1,magnussen,stewart,18,1:34.906,,
1998_1,rosset,tyrrell,19,1:35.119,,
1998_1,diniz,arrows,20,1:35.140,,
1998_1,panis,prost,21,1:35.215,,
1998_1,nakano,minardi,22,1:35.301,,
1998_2,hakkinen,mclaren,1,1:17.092,,
1998_2,coulthard,mclaren,2,1:17.757,,
1998_2,frentzen,williams,3,1:18.109,,
1998_2,michael_schumacher,ferrari,4,1:18.250,,
1998_2,wurz,benetton,5,1:18.261,,
1998_2,irvine,ferrari,6,1:18.449,,
1998_2,fisichella,benetton,7,1:18.652,,
1998_2,ralf_schumacher,jordan,8,1:18.735,,
1998_2,panis,prost,9,1:18.753,,
1998_2,villeneuve,williams,10,1:18.761,,
1998_2,damon_hill,jordan,11,1:18.988,,
1998_2,trulli,prost,12,1:19.069,,
1998_2,barrichello,stewart,13,1:19.344,,
1998_2,herbert,sauber,14,1:19.375,,
1998_2,alesi,sauber,15,1:19.449,,
1998_2,magnussen,stewart,16,1:19.644,,
1998_2,takagi,tyrrell,17,1:20.203,,
1998_2,nakano,minardi,18,1:20.390,,
1998_2,tuero,minardi,19,1:20.459,,
1998_2,salo,arrows,20,1:20.481,,
1998_2,rosset,tyrrell,21,1:20.748,,
1998_2,diniz,arrows,22,1:20.847,,
1998_3,coulthard,mclaren,1,1:25.852,,
1998_3,michael_schumacher,ferrari,2,1:26.251,,
1998_3,hakkinen,mclaren,3,1:26.632,,
1998_3,irvine,ferrari,4,1:26.780,,
1998_3,ralf_schumacher,jordan,5,1:26.827,,
1998_3,frentzen,williams,6,1:26.876,,
1998_3,villeneuve,williams,7,1:26.941,,
1998_3,wurz,benetton,8,1:27.198,,
1998_3,damon_hill,jordan,9,1:27.483,,
1998_3,fisichella,benetton,10,1:27.836,,
1998_3,alesi,sauber,11,1:27.839,,
1998_3,herbert,sauber,12,1:28.016,,
1998_3,takagi,tyrrell,13,1:28.811,,
1998_3,barrichello,stewart,14,1:29.249,,
1998_3,panis,prost,15,1:29.320,,
1998_3,trulli,prost,16,1:29.352,,
1998_3,salo,arrows,17,1:29.617,,
1998_3,diniz,arrows,18,1:29.617,,
1998_3,nakano,minardi,19,1:30.054,,
1998_3,tuero,minardi,20,1:30.158,,
1998_3,rosset,tyrrell,21,1:30.437,,
1998_3,magnussen,stewart,22,1:31.178,,
1998_9,hakkinen,mclaren,1,1:23.271,,
1998_9,michael_schumacher,ferrari,2,1:23.720,,
1998_9,villeneuve,williams,3,1:24.102,,
1998_9,coulthard,mclaren,4,1:24.310,,
1998_9,irvine,ferrari,5,1:24.436,,
1998_9,frentzen,williams,6,1:24.442,,
1998_9,damon_hill,jordan,7,1:24.542,,
1998_9,alesi,sauber,8,1:25.081,,
1998_9,herbert,sauber,9,1:25.084,,
1998_9,fisichella,benetton,10,1:25.654,,
1998_9,wurz,benetton,11,1:25.760,,
1998_9,diniz,arrows,12,1:26.376,,
1998_9,salo,arrows,13,1:26.487,,
1998_9,trulli,prost,14,1:26.808,,
1998_9,verstappen,stewart,15,1:26.948,,
1998_9,barrichello,stewart,16,1:26.990,,
1998_9,takagi,tyrrell,17,1:27.061,,
1998_9,tuero,minardi,18,1:28.051,,
1998_9,nakano,minardi,19,1:28.123,,
1998_9,rosset,tyrrell,20,1:28.608,,
1998_9,ralf_schumacher,jordan,21,,,
1998_9,panis,prost,22,,,
1998_10,fisichella,benetton,1,1:29.598,,
1998_10,alesi,sauber,2,1:30.317,,
1998_10,hakkinen,mclaren,3,1:30.517,,
1998_10,michael_schumacher,ferrari,4,1:30.551,,
1998_10,barrichello,stewart,5,1:31.005,,
1998_10,salo,arrows,6,1:31.028,,
1998_10,frentzen,williams,7,1:31.515,,
1998_10,irvine,ferrari,8,1:31.651,,
1998_10,ralf_schumacher,jordan,9,1:31.917,,
1998_10,panis,prost,10,1:32.081,,
1998_10,villeneuve,williams,11,1:32.083,,
1998_10,verstappen,stewart,12,1:32.099,,
1999_1,hakkinen,mclaren,1,1:30.462,,
1999_1,coulthard,mclaren,2,1:30.946,,
1999_1,michael_schumacher,ferrari,3,1:31.781,,
1999_1,barrichello,stewart,4,1:32.148,,
1999_1,frentzen,jordan,5,1:32.276,,
1999_1,irvine,ferrari,6,1:32.289,,
1999_1,fisichella,benetton,7,1:32.540,,
1999_1,ralf_schumacher,williams,8,1:32.691,,
1999_1,damon_hill,jordan,9,1:32.695,,
1999_1,wurz,benetton,10,1:32.789,,
1999_1,villeneuve,bar,11,1:32.888,,
1999_1,trulli,prost,12,1:32.971,,
1999_1,herbert,stewart,13,1:32.991,,
1999_1,diniz,sauber,14,1:33.374,,
1999_1,zanardi,williams,15,1:33.549,,
1999_1,alesi,sauber,16,1:33.910,,
1999_1,takagi,arrows,17,1:34.182,,
1999_1,rosa,arrows,18,1:34.244,,
1999_1,zonta,bar,19,1:34.412,,
1999_1,panis,prost,20,1:35.068,,
1999_1,badoer,minardi,21,1:35.316,,
1999_1,gene,minardi,22,1:37.013,,
1999_2,hakkinen,mclaren,1,1:16.568,,
1999_2,coulthard,mclaren,2,1:16.715,,
1999_2,barrichello,stewart,3,1:17.305,,
1999_2,michael_schumacher,ferrari,4,1:17.578,,
1999_2,fisichella,benetton,5,1:17.810,,
1999_2,irvine,ferrari,6,1:17.843,,
1999_2,damon_hill,jordan,7,1:17.884,,
1999_2,frentzen,jordan,8,1:17.902,,
1999_2,wurz,benetton,9,1:18.334,,
1999_2,herbert,stewart,10,1:18.374,,
1999_2,ralf_schumacher,williams,11,1:18.506,,
1999_2,panis,prost,12,1:18.636,,
1999_2,trulli,prost,13,1:18.684,,
1999_2,alesi,sauber,14,1:18.716,,
1999_2,diniz,sauber,15,1:19.194,,
1999_2,zanardi,williams,16,1:19.452,,
1999_2,sarrazin,minardi,17,1:20.016,,
1999_2,rosa,arrows,18,1:20.075,,
1999_2,takagi,arrows,19,1:20.096,,
1999_2,gene,minardi,20,1:20.710,,
1999_2,villeneuve,bar,21,,,
1999_3,hakkinen,mclaren,1,1:26.362,,
1999_3,coulthard,mclaren,2,1:26.384,,
1999_3,michael_schumacher,ferrari,3,1:26.538,,
1999_3,irvine,ferrari,4,1:26.993,,
1999_3,villeneuve,bar,5,1:27.313,,
1999_3,barrichello,stewart,6,1:27.409,,
1999_3,frentzen,jordan,7,1:27.613,,
1999_3,damon_hill,jordan,8,1:27.708,,
1999_3,ralf_schumacher,williams,9,1:27.770,,
1999_3,zanardi,williams,10,1:28.142,,
1999_3,panis,prost,11,1:28.205,,
1999_3,herbert,stewart,12,1:28.246,,
1999_3,alesi,sauber,13,1:28.253,,
1999_3,trulli,prost,14,1:28.403,,
1999_3,diniz,sauber,15,1:28.599,,
1999_3,fisichella,benetton,16,1:28.750,,
1999_3,wurz,benetton,17,1:28.765,,
1999_3,rosa,arrows,18,1:29.293,,
1999_3,salo,bar,19,1:29.451,,
1999_3,takagi,arrows,20,1:29.656,,
1999_3,gene,minardi,21,1:30.035,,
1999_3,badoer,minardi,22,1:30.945,,
2000_1,hakkinen,mclaren,1,1:30.556,,
2000_1,coulthard,mclaren,2,1:30.910,,
2000_1,michael_schumacher,ferrari,3,1:31.075,,
2000_1,barrichello,ferrari,4,1:31.102,,
2000_1,frentzen,jordan,5,1:31.359,,
2000_1,trulli,jordan,6,1:31.504,,
2000_1,irvine,jaguar,7,1:31.514,,
2000_1,villeneuve,bar,8,1:31.968,,
2000_1,fisichella,benetton,9,1:31.992,,
2000_1,salo,sauber,10,1:32.018,,
2000_1,ralf_schumacher,williams,11,1:32.220,,
2000_1,rosa,arrows,12,1:32.323,,
2000_1,verstappen,arrows,13,1:32.477,,
2000_1,wurz,benetton,14,1:32.775,,
2000_1,heidfeld,prost,15,1:33.024,,
2000_1,zonta,bar,16,1:33.117,,
2000_1,alesi,prost,17,1:33.197,,
2000_1,gene,minardi,18,1:33.261,,
2000_1,diniz,sauber,19,1:33.378,,
